Date,Station,Watershed,E.coli,Nitrite,Ammonia,Total Phosphorus,Total Soluble Phosphorus,Ortho-Phosphorus,BOD5,TSS,Chlorophyll a,Phaeophytin a,Hardness,Alkalinity,Turbidity,Dissolved Oxygen,Cadmium,Chromium,Copper,Iron,Lead,Mercury,Zinc,Arsenic,Selenium,Phytoplankton,Zooplankton,Temperature,pH,Seechi Depth,sum
7/13/2010,ANA29,Anacostia,,0.022,0.042,,,,3.5,,85.2,,132,88,30,7,,,,,,,,,,,,25,7.7,0.7,379.164
8/24/2010,ANA29,Anacostia,345,0.037,0.129,,,,2,,10.7,,86,54,150,5.6,,,,,,,,,,,,26.6,7.5,0.4,687.966
9/21/2010,ANA29,Anacostia,,0.028,0.078,,,,2.8,5,12.7,,116,70,25,8.2,,,,,,,,,,,,23.6,7.1,0.6,271.106
10/19/2010,ANA29,Anacostia,231,0.017,0.123,,,,1.3,12,2.3,,124,70,10,7.5,,,,,,,,,,,,16.9,7.8,1.2,484.14
11/16/2010,ANA29,Anacostia,58,,0.066,,,,1.4,,2.1,,154,106,5,9.2,,,,,,,,,,,,10.8,8,1.1,355.666
12/14/2010,ANA29,Anacostia,1986,,,,,,2.4,9,1,,96,66,10,12.8,,,,,,,,,,,,1.9,7.8,0.7,2193.6
1/11/2011,ANA29,Anacostia,20,,0.062,,,,1.1,,,,158,108,3,13,,,,,,,,,,,,0.8,8.1,1,313.062
2/8/2011,ANA29,Anacostia,,,0.057,,,,2.1,25,1.9,,154,96,7.4,12.5,,,,,,,,,,,,2.7,8,1,310.657
3/8/2011,ANA29,Anacostia,1046,0.025,0.111,,,,3,116,8.8,,86,48,122.1,12.3,,,,,,,,,,,,7.1,7.6,0.1,1457.136
4/12/2011,ANA29,Anacostia,,,,,,,1.9,5,2.4,,106,70,4,10.2,,,,,,,,,,,,14,7.9,1,222.4
5/17/2011,ANA29,Anacostia,162,0.012,,,,,2.2,8,10.1,,116,86,8.6,8.1,,,,,,,,,,,,20.2,8.4,0.8,430.412
6/21/2011,ANA29,Anacostia,88,0.017,,,,,2,7,9.4,,150,118,9.8,6.1,,,,,,,,,,,,25.2,8,0.7,424.217
7/12/2011,ANA29,Anacostia,2,,,,,,2.6,17,13.6,,126,102,8.5,6.9,,,,,,,,,,,,29.2,8.2,0.6,316.6
8/22/2011,ANA29,Anacostia,344,0.04,,,,,2.5,9,12.7,,106,94,11.3,5.1,,,,,,,,,,,,26.7,7,0.6,618.94
9/13/2011,ANA29,Anacostia,1046,0.026,,,,,,9,2.3,,98,122,19.4,8.1,,,,,,,,,,,,22.8,7.5,0.4,1335.526
10/17/2011,ANA29,Anacostia,91,0.023,0.051,,,,1.6,30,3.6,,110,166,14.9,9.4,,,,,,,,,,,,16.4,7.5,0.6,451.074
11/15/2011,ANA29,Anacostia,21,,0.041,,,,,,1,,134,88,4.8,11.4,,,,,,,,,,,,10.6,7.7,1.2,279.741
12/13/2011,ANA29,Anacostia,637,0.01,0.07,,,,1.6,7,2,,90,62,21.8,13.8,,,,,,,,,,,,5.2,7.8,0.4,848.68
